,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,decade
2253,URN:NBN:no-nb_digibok_2015021048082,100 velsmakende slankeretter,"Leah , Diane / Karlsen , Per Chr.",oai:nb.bibsys.no:998841896004702202,eeb7cbd5256ce6141258aa9bece52f92,8204017294,[Oslo],19870101,1987,Fredhøi,nob / eng,kokebøker,641.563,,Faglitteratur,digibok,1980
2254,URN:NBN:no-nb_digibok_2016030248063,Italienske bufféer,"Tengby , Tomas / Baudone , Marco / Andersson , Stefan / Dahl , Hanne",oai:nb.bibsys.no:990506007964702202,1df8a8782c7fa5befd165ff19e1403cc,8252557252 / 8203231748,,20050101,2005,Aschehoug,nob / swe,matlaging / kokebøker / italia,641.5945,,Faglitteratur,digibok,2000
2255,URN:NBN:no-nb_digibok_2013022838120,Gourmet GI : festmat med lav glykemisk indeks,"Govindji , Azmina / Høydalsnes , Ann",oai:nb.bibsys.no:990615512794702202,81245895556f1ee0081cb2fbce2ea31c,8245807788,Oslo,20060101,2006,Orion,nob / eng,kokebøker / glykemisk / indeks / helse / kosthold / ernæring,641.563,,Faglitteratur,digibok,2000
2256,URN:NBN:no-nb_digibok_2010071303004,Til å spise opp : blomster og planter i mat og drikke - slik dyrker og bruker du dem,"McVicar , Jekka / Romaine , Derek St. / Moen , Grete Helene",oai:nb.bibsys.no:999809382954702202,d1dd2a82ea0ea3c5547d90bf5896945b,8274134540,Oslo,19970101,1997,Hilt & Hansteen,nob / eng,Hagebruk / Spiselige planter / blomster / planter / matlaging / krydder / urter,641.65 / 641.5,,Faglitteratur,digibok,1990
2257,URN:NBN:no-nb_digibok_2016072248020,Xiang - mat og kultur fra Hunan,"Lin , Feng Xian / Willgohs , Jan Erik",oai:nb.bibsys.no:990319483084702202,38a9f76ad471588b162a64c5c9263b9b,8291948127,,20030101,2003,Mangschou,nob,Kulturkunnskap / Mattradisjoner / matlaging / kokebøker / kina,641.5951,,Faglitteratur,digibok,2000
2258,URN:NBN:no-nb_digibok_2008030304011,Mat frå gard og grend : om mat og matkultur i Lesja og Gudbrandsdalen gjennom 100år,"Nordset , Bjørg",oai:nb.bibsys.no:999515932424702202,a4cd69796dd3312c9780f5982a4a31f1,8291375054,,19950101,1995,Bondekvinnelaget,nob,Foods / Preservation / History / Mattradisjoner / Merkedager / Religiøse fester / matlaging / norge / gudbrandsdalen / kokebøker / lesja / tradisjonsmat / mattradisjoner / tradisjoner / oppskrifter / tresking / korn / baking / flatbrød / lefser / takkebakst / julebakst / brød / stomp / slakting / innmat / blodmat / julemat / melkemat / setermat / ysting / kinning / graut / grøt / desserter / vilt / fisk / sending / gravøl / begravelser / barsel / bryllup / høytider,641.594825,,Faglitteratur,digibok,1990
2259,URN:NBN:no-nb_digibok_2014121948038,Med frukt og bær,"Sjaamo , Anne-Beth / Lindberg , Ulla / Heggenhougen , June",oai:nb.bibsys.no:998420065404702202,9982463d74aa97650a001be92bb44758,8270019364,[Oslo],19830101,1983,Hjemmets bokforl.,nob,,641.5,,Faglitteratur,digibok,1980
2260,URN:NBN:no-nb_digibok_2014110407634,Solfrid og Ginos matbok : to kulturer møtes på kjøkkenet,"Saue , Solfrid Rørlien / Valente , Gino",oai:nb.bibsys.no:998903297614702202,fea6698ffeaceb6d2c4246c12763abc6,8210032011,Oslo,19890101,1989,Tiden,nob,kokebøker / italienske / matlaging / italia / mat / oppskrifter,641.5,,Faglitteratur,digibok,1980
2261,URN:NBN:no-nb_digibok_2014070106018,Rett kost : grunnlaget for god helse,"Karström , Henning",oai:nb.bibsys.no:998220949324702202,34e3db4fabd8fbd04d88526a0e154abb,8270070726,Oslo,19800101,1980,Norsk bokforlag,nob / swe,Vegetarianism / vegetarretter / vegetarkost / helsekost / kokebøker / matvarer / næringsmiddel / ernæringslære / ernæring / kosthold / helselære / helserøkt,613.2,,Faglitteratur,digibok,1980
2262,URN:NBN:no-nb_digibok_2017062307165,Guten Appetit! : Werktags- und Sonntagsessen in Norwegen,"Sverdrup , Elise / Næsheim , Egil Torin",oai:nb.bibsys.no:998420054984702202,ed0f58e358001e8dcbb5979d14527fbd,8251816084,Oslo,19820101,1982,Tanum-Norli,ger / eng,,641.5,,Faglitteratur,digibok,1980
